UnixTimestamp,Transaction Hash,TokenValue
1762951675,0xbb350dc81c77e3a101c1dfde7b8941c76ec8ad2b1aef491a54b52ab03a844114,6490.0
1762951851,0xd9d85badf21a19b7d5d658a98867c6d789b5e41fe678bb45aad7a276a23351ff,6490.0
1762952023,0xb82af7ef56fed22cf1a449ede4d1a7bbbc044674fbd6af029001220177a5a238,6490.0
1762952197,0x282963418ea4490c24fd2c9fc2cab70d90d7dacf8dd1189956c8ccff1d85806c,6490.0
1762964111,0xddb02a911795a187e74fe486eb560b0de1c180cf0a1e359579e3b16ffc950453,1860.0
1762964117,0x31b78e2611b2da8beaaa27e110f0f3b8ac0dc30b4a3d7dcbd869126159186a9f,1860.0
1762971893,0x6f751cf7dd76ec6e2ad261863ced0b0832edc1805a98dfbf4b9b9967af1aa825,480.0
1762972105,0x1efc86d7fc1a7ce6814e1a5fb398f674ef25c4712472321a827f9109c34240be,480.0
1762972353,0xb1ae1f9eecafa49af8e00dc4a1a49bd66094c2a5132af4ff694c83c808cda350,480.0
1762972583,0x8bd555f16a9021567cb27a9a6a75ee636fc7efafb11eb68393c5ce3525fcf23a,480.0
1762972775,0x3094a25f47501168a28034c233607e5bf865b16cbce5c98f901ed3cc64ce4d0f,480.0
1762973115,0xdb315527ce97ccf88fbd25c405c515d56d01222d534e3a3b8ad78f35eae99139,480.0
1762973273,0x28a684c9b2f837e385c88cdea059cc770b2502f69fa283d233dea27f8b2d62ae,480.0
1762973791,0x80e6c88c2d5417a2dad4ee69970a8354df2ee43edd156f5802e8da53d94481e3,480.0
1762974479,0xe52a54fa6d37f3fc9979fe73ac0094b163e7cf052e2051662647dd89f390417a,480.0
1762974671,0x4cb979dc2d957f1440173d760be404a3e131955430905144844f0c8eac489f3b,480.0
1762974829,0x4f93964eca7f7de19e87e2c15c52dbb19db888bc8b2ac235e3db9d03ebf2d330,480.0
1762975883,0x96a997a9527564ad93913999b36e976775546d81148fc453af9878fc61bd83f3,480.0
1762976111,0xdf0818c8abf71b2e709256549a8724da38e9b44368c069cd17ac6f66a7ef57f1,480.0
1762976309,0x2bbbe289e8abe1dc23c063c14a19f4e2de42b09ea591daef9ba227ce4dc0e506,480.0
1762977299,0x2e689a4269845fb5a7e2768b8155282ab3289fdff1e6af7ced1b7c8eabbfe5dc,480.0
1762977775,0xc5178157d0f6fce2ded6ddbd6ded16ea8dcacbff4e78076984b2533305348d37,480.0
1762978301,0xcde419b074715614b5d02143cfd772c78eb4b783d3c66059e8346753682ae6a1,480.0
1762978303,0xe31afc376510ea9b4652b62ce785dd049e8ac886a0498fab3246cc6c9ba810b4,480.0
1762978635,0x1ae0c4458c8f90375acda0bc68ae17aae3a7d181c9d98ee6a16396398770f8f0,480.0
1763042521,0xb55d95d8efb835785a60be323361f5f8a09e0058def4e81017ba3ba027b9dccd,480.0
1763043331,0xb4d76b95e76578ef160eece80d3f9a4185264c3a0532f7724d35988d34955b98,480.0
1763044187,0x54924ecc6a790fe6dbc215280fbb69327538825a50c4f73fa16cfc439f161b70,480.0
1763048765,0x110f772e7144e8b165d764f392751bcdc062f3b7cf551cfce9a2809103d7af0e,480.0
1763049241,0xca75533594f3625202d7c47a1c04dd1c948fff10681fa34e590cc5330e113ea2,480.0
1763057221,0x1c430ffa85ee39dddc94d822b087a6395546445d0cc2202390008d5f5da57428,480.0
1763057597,0x79a4f61dd414be0a04332d9010c33016bb3890ede253d76569e559e3d3d6f1b0,480.0
1763058097,0x5ac78f3db2ea10762481c1a63c1e3288ebd3c41b92d940ec2c80872249419bcc,480.0
1763101849,0x0df4d0a1717a7a131fca0bcc63e453c98144a97d8b0bdf29743f52443dfe45e6,480.0
